"week","gameId","playId","pos_team","def_team","down","yardstogo","def_coverage","def_covtype","def_playersinbox","line_betw","pressure"
1,2021091207,152,"ARI","TEN","1st",10,"Cover-3","Zone",8,0.0326190476190476,0
1,2021091207,218,"ARI","TEN","1st",18,"Cover-3","Zone",7,0.0395507637017071,0
1,2021091207,253,"ARI","TEN","2nd",17,"Quarters","Zone",5,0.00918918918918917,0
1,2021091207,386,"ARI","TEN","2nd",24,"Cover-6","Zone",5,0.0130340136054422,0
1,2021091207,410,"ARI","TEN","3rd",16,"Cover-3","Zone",6,0.0104761904761905,0
1,2021091207,621,"ARI","TEN","2nd",5,"Cover-1","Man",5,0.0166526610644258,0
1,2021091207,660,"ARI","TEN","3rd",5,"Red Zone","Other",6,0.0189365079365079,0
1,2021091207,839,"ARI","TEN","2nd",6,"Cover-1","Man",6,0.017703081232493,0
1,2021091207,863,"ARI","TEN","3rd",3,"Cover-1","Man",7,0.0251111111111111,0
1,2021091207,1090,"ARI","TEN","1st",10,"Quarters","Zone",6,0.0225529100529101,0
1,2021091207,1128,"ARI","TEN","2nd",12,"Cover-1","Man",7,0.0310766045548654,0
1,2021091207,1152,"ARI","TEN","3rd",2,"Cover-1","Man",7,0.034047619047619,0
1,2021091207,1344,"ARI","TEN","2nd",5,"Quarters","Zone",6,0.016984126984127,0
1,2021091207,1703,"ARI","TEN","1st",10,"Cover-3","Zone",7,0.029671592775041,0
1,2021091207,1725,"ARI","TEN","2nd",10,"Cover-2","Zone",6,0.0180451127819549,0
1,2021091207,1747,"ARI","TEN","3rd",10,"Cover-3","Zone",6,0.0154041065967672,0
1,2021091207,1792,"ARI","TEN","2nd",6,"Cover-3","Zone",7,0.0207380952380952,0
1,2021091207,1834,"ARI","TEN","2nd",10,"Cover-1","Man",7,0.0262244897959184,0
1,2021091207,1858,"ARI","TEN","3rd",6,"Cover-1","Man",4,0.0170940170940171,0
1,2021091207,2345,"ARI","TEN","1st",10,"Other","Other",3,0.00844006568144499,0
1,2021091207,2503,"ARI","TEN","3rd",3,"Cover-1","Man",6,0.0220728291316527,0
1,2021091207,2654,"ARI","TEN","2nd",7,"Cover-3","Zone",7,0.034025974025974,0
1,2021091207,2716,"ARI","TEN","2nd",3,"Cover-1","Man",8,0.0395132275132275,0
1,2021091207,2766,"ARI","TEN","3rd",3,"Cover-1","Man",6,0.0266938775510204,0
1,2021091207,2927,"ARI","TEN","1st",10,"Cover-3","Zone",7,0.034031746031746,0
1,2021091207,2949,"ARI","TEN","2nd",10,"Cover-1","Man",7,0.0244708994708995,0
1,2021091207,2982,"ARI","TEN","3rd",10,"Cover-1","Man",5,0.0139977851605759,0
1,2021091207,3245,"ARI","TEN","3rd",4,"Cover-1","Man",6,0.0196734693877551,0
2,2021091909,146,"ARI","MIN","1st",10,"Cover-2","Zone",6,0.0263945578231292,0
2,2021091909,476,"ARI","MIN","1st",10,"Cover-3","Zone",6,0.0290360046457608,0
2,2021091909,545,"ARI","MIN","2nd",10,"Cover-6","Zone",6,0.0154497354497355,0
2,2021091909,569,"ARI","MIN","3rd",6,"Cover-3","Zone",7,0.0170748299319728,0
2,2021091909,619,"ARI","MIN","2nd",10,"Cover-3","Zone",6,0.0255145929339478,0
2,2021091909,641,"ARI","MIN","3rd",10,"Cover-3","Zone",5,0.0129115646258503,0
2,2021091909,1325,"ARI","MIN","1st",10,"Cover-3","Zone",6,0.0263151927437642,0
2,2021091909,1351,"ARI","MIN","2nd",10,"Quarters","Zone",6,0.0148394241417497,0
2,2021091909,1396,"ARI","MIN","2nd",4,"Cover-3","Zone",6,0.0171428571428571,0
2,2021091909,1441,"ARI","MIN","2nd",8,"Cover-1","Man",5,0.00841638981173865,0
2,2021091909,1460,"ARI","MIN","3rd",16,"Cover-2","Zone",4,0.00836438923395446,0
2,2021091909,1797,"ARI","MIN","1st",10,"Cover-3","Zone",6,0.0211624649859944,0
2,2021091909,2152,"ARI","MIN","2nd",6,"Cover-6","Zone",4,0.00766137566137567,0
2,2021091909,2273,"ARI","MIN","2nd",2,"Cover-3","Zone",6,0.0169674185463659,0
2,2021091909,2392,"ARI","MIN","1st",10,"Cover-6","Zone",7,0.0317142857142857,0
2,2021091909,2437,"ARI","MIN","1st",10,"Quarters","Zone",6,0.0155400696864112,0
2,2021091909,2482,"ARI","MIN","2nd",4,"Cover-3","Zone",7,0.0147869674185464,0
2,2021091909,2747,"ARI","MIN","1st",10,"Quarters","Zone",6,0.018419452887538,0
2,2021091909,2792,"ARI","MIN","2nd",7,"Cover-3","Zone",7,0.0308333333333333,0
2,2021091909,2847,"ARI","MIN","2nd",9,"Cover-6","Zone",6,0.0219946091644205,0
2,2021091909,3249,"ARI","MIN","1st",10,"Cover-3","Zone",6,0.01795670995671,0
2,2021091909,3273,"ARI","MIN","2nd",8,"Cover-6","Zone",6,0.0128042328042328,0
2,2021091909,3299,"ARI","MIN","3rd",2,"Cover-2","Zone",6,0.0192460317460317,0
2,2021091909,3517,"ARI","MIN","1st",15,"Cover-3","Zone",6,0.0204481792717087,0
2,2021091909,3541,"ARI","MIN","2nd",9,"Cover-2","Zone",6,0.0163756613756614,0
2,2021091909,3565,"ARI","MIN","1st",10,"Quarters","Zone",6,0.0181453634085213,0
2,2021091909,3589,"ARI","MIN","2nd",8,"Cover-2","Zone",7,0.0294104308390023,0
2,2021091909,3613,"ARI","MIN","3rd",5,"Cover-2","Zone",6,0.0174779541446208,1
2,2021091909,3635,"ARI","MIN","4th/2pc",5,"Cover-0","Man",7,0.0284684684684685,0
2,2021091909,3697,"ARI","MIN","2nd",9,"Cover-1","Man",6,0.0185034013605442,0
2,2021091909,3719,"ARI","MIN","3rd",9,"Cover-1","Man",6,0.0202005012531328,0
2,2021091909,3934,"ARI","MIN","2nd",6,"Cover-3","Zone",7,0.0291428571428571,0
2,2021091909,3970,"ARI","MIN","3rd",16,"Cover-6","Zone",5,0.0101863354037267,0
3,2021092603,223,"ARI","JAX","2nd",8,"Cover-3","Zone",7,0.0235714285714286,0
3,2021092603,244,"ARI","JAX","3rd",1,"Cover-1","Man",7,0.037578231292517,0
3,2021092603,389,"ARI","JAX","1st",10,"Cover-3","Zone",6,0.0134421768707483,0
3,2021092603,413,"ARI","JAX","2nd",3,"Cover-3","Zone",6,0.0175170068027211,0
3,2021092603,437,"ARI","JAX","1st",10,"Cover-3","Zone",6,0.0234453781512605,0
3,2021092603,781,"ARI","JAX","2nd",8,"Cover-3","Zone",7,0.0165714285714286,1
3,2021092603,1055,"ARI","JAX","1st",10,"Cover-6","Zone",6,0.0400732600732601,0
3,2021092603,1111,"ARI","JAX","1st",10,"Cover-3","Zone",6,0.0239417989417989,0
3,2021092603,1143,"ARI","JAX","1st",20,"Cover-2","Zone",6,0.0116608594657375,0
3,2021092603,1167,"ARI","JAX","2nd",14,"Cover-3","Zone",5,0.0299186991869919,0
3,2021092603,1191,"ARI","JAX","3rd",4,"Cover-1","Man",6,0.0370294784580499,0
3,2021092603,1396,"ARI","JAX","1st",10,"Cover-3","Zone",7,0.0327619047619048,0
3,2021092603,1875,"ARI","JAX","1st",10,"Cover-2","Zone",6,0.0130313588850174,0
3,2021092603,1934,"ARI","JAX","1st",10,"Cover-2","Zone",4,0.0067063492063492,0
3,2021092603,2046,"ARI","JAX","1st",10,"Cover-3","Zone",6,0.017687074829932,0
3,2021092603,2147,"ARI","JAX","1st",10,"Cover-2","Zone",5,0.00934240362811791,0
3,2021092603,2262,"ARI","JAX","1st",10,"Cover-3","Zone",7,0.0266666666666667,0
3,2021092603,2283,"ARI","JAX","2nd",6,"Quarters","Zone",6,0.0214739229024943,0
3,2021092603,2307,"ARI","JAX","1st",10,"Cover-3","Zone",6,0.0215549076773567,0
3,2021092603,2410,"ARI","JAX","3rd",2,"Cover-1","Man",6,0.0178869047619048,0
3,2021092603,2432,"ARI","JAX","4th/2pc",2,"Cover-1","Man",6,0.0237216117216117,0
3,2021092603,2456,"ARI","JAX","1st",10,"Cover-3","Zone",7,0.036144018583043,0
3,2021092603,2478,"ARI","JAX","2nd",10,"Cover-1","Man",5,0.02,0
3,2021092603,2506,"ARI","JAX","3rd",10,"Cover-2","Zone",5,0.0133766233766234,0
3,2021092603,2845,"ARI","JAX","1st",10,"Cover-3","Zone",6,0.0301587301587302,0
3,2021092603,3164,"ARI","JAX","2nd",10,"Cover-3","Zone",6,0.0306832298136646,0
3,2021092603,3209,"ARI","JAX","2nd",10,"Cover-2","Zone",5,0.0146806039488966,0
3,2021092603,3233,"ARI","JAX","3rd",9,"Quarters","Zone",6,0.0137012987012987,0
3,2021092603,3327,"ARI","JAX","3rd",8,"Cover-0","Man",7,0.0215763546798029,0
3,2021092603,3732,"ARI","JAX","2nd",9,"Cover-3","Zone",6,0.0259482038429407,0
4,2021100309,311,"ARI","LA","1st",10,"Cover-3","Zone",6,0.0386527293844367,0
4,2021100309,333,"ARI","LA","2nd",10,"Cover-0","Man",6,0.015,0
4,2021100309,362,"ARI","LA","3rd",5,"Cover-1","Man",6,0.0227956989247312,0
4,2021100309,479,"ARI","LA","1st",10,"Cover-6","Zone",5,0.008994708994709,0
