"week","gameId","playId","pos_team","def_team","down","yardstogo","def_coverage","def_covtype","def_playersinbox","line_betw","pressure"
1,2021091207,152,"ARI","TEN","1st",10,"Cover-3","Zone",8,0.0326190476190476,0
1,2021091207,218,"ARI","TEN","1st",18,"Cover-3","Zone",7,0.0395507637017071,0
1,2021091207,253,"ARI","TEN","2nd",17,"Quarters","Zone",5,0.00918918918918917,0
1,2021091207,386,"ARI","TEN","2nd",24,"Cover-6","Zone",5,0.0130340136054422,0
1,2021091207,410,"ARI","TEN","3rd",16,"Cover-3","Zone",6,0.0104761904761905,0
1,2021091207,621,"ARI","TEN","2nd",5,"Cover-1","Man",5,0.0166526610644258,0
1,2021091207,660,"ARI","TEN","3rd",5,"Red Zone","Other",6,0.0189365079365079,0
1,2021091207,839,"ARI","TEN","2nd",6,"Cover-1","Man",6,0.017703081232493,0
1,2021091207,863,"ARI","TEN","3rd",3,"Cover-1","Man",7,0.0251111111111111,0
1,2021091207,1090,"ARI","TEN","1st",10,"Quarters","Zone",6,0.0225529100529101,0
2,2021091909,146,"ARI","MIN","1st",10,"Cover-2","Zone",6,0.0263945578231292,0
2,2021091909,476,"ARI","MIN","1st",10,"Cover-3","Zone",6,0.0290360046457608,0
2,2021091909,545,"ARI","MIN","2nd",10,"Cover-6","Zone",6,0.0154497354497355,0
2,2021091909,569,"ARI","MIN","3rd",6,"Cover-3","Zone",7,0.0170748299319728,0
2,2021091909,619,"ARI","MIN","2nd",10,"Cover-3","Zone",6,0.0255145929339478,0
2,2021091909,641,"ARI","MIN","3rd",10,"Cover-3","Zone",5,0.0129115646258503,0
2,2021091909,1325,"ARI","MIN","1st",10,"Cover-3","Zone",6,0.0263151927437642,0
2,2021091909,1351,"ARI","MIN","2nd",10,"Quarters","Zone",6,0.0148394241417497,0
2,2021091909,1396,"ARI","MIN","2nd",4,"Cover-3","Zone",6,0.0171428571428571,0
2,2021091909,1441,"ARI","MIN","2nd",8,"Cover-1","Man",5,0.00841638981173865,0
3,2021092603,223,"ARI","JAX","2nd",8,"Cover-3","Zone",7,0.0235714285714286,0
3,2021092603,244,"ARI","JAX","3rd",1,"Cover-1","Man",7,0.037578231292517,0
3,2021092603,389,"ARI","JAX","1st",10,"Cover-3","Zone",6,0.0134421768707483,0
3,2021092603,413,"ARI","JAX","2nd",3,"Cover-3","Zone",6,0.0175170068027211,0
3,2021092603,437,"ARI","JAX","1st",10,"Cover-3","Zone",6,0.0234453781512605,0
3,2021092603,781,"ARI","JAX","2nd",8,"Cover-3","Zone",7,0.0165714285714286,1
3,2021092603,1055,"ARI","JAX","1st",10,"Cover-6","Zone",6,0.0400732600732601,0
3,2021092603,1111,"ARI","JAX","1st",10,"Cover-3","Zone",6,0.0239417989417989,0
3,2021092603,1143,"ARI","JAX","1st",20,"Cover-2","Zone",6,0.0116608594657375,0
3,2021092603,1167,"ARI","JAX","2nd",14,"Cover-3","Zone",5,0.0299186991869919,0
4,2021100309,311,"ARI","LA","1st",10,"Cover-3","Zone",6,0.0386527293844367,0
4,2021100309,333,"ARI","LA","2nd",10,"Cover-0","Man",6,0.015,0
4,2021100309,362,"ARI","LA","3rd",5,"Cover-1","Man",6,0.0227956989247312,0
4,2021100309,479,"ARI","LA","1st",10,"Cover-6","Zone",5,0.008994708994709,0
4,2021100309,541,"ARI","LA","2nd",12,"Cover-6","Zone",6,0.0443073593073593,0
4,2021100309,615,"ARI","LA","3rd",6,"Cover-3","Zone",5,0.0120846560846561,0
4,2021100309,927,"ARI","LA","1st",10,"Cover-3","Zone",6,0.0288392857142857,0
4,2021100309,1012,"ARI","LA","1st",10,"Cover-3","Zone",6,0.0153694581280788,0
4,2021100309,1066,"ARI","LA","2nd",12,"Cover-3","Zone",6,0.0172043010752688,0
4,2021100309,1107,"ARI","LA","3rd",2,"Cover-1","Man",6,0.0162433862433863,0
5,2021101011,156,"ARI","SF","1st",10,"Quarters","Zone",6,0.0154166666666667,0
5,2021101011,222,"ARI","SF","1st",10,"Quarters","Zone",7,0.0270868347338936,0
5,2021101011,627,"ARI","SF","1st",10,"Cover-6","Zone",7,0.0162503252667187,0
5,2021101011,672,"ARI","SF","3rd",14,"Cover-3","Zone",4,0.00640000000000001,0
5,2021101011,1087,"ARI","SF","2nd",7,"Quarters","Zone",6,0.01795670995671,0
5,2021101011,1109,"ARI","SF","3rd",7,"Cover-1","Man",5,0.0105034013605442,0
5,2021101011,1235,"ARI","SF","2nd",5,"Cover-3","Zone",8,0.0419976771196283,0
5,2021101011,1289,"ARI","SF","2nd",10,"Cover-3","Zone",6,0.0260989010989011,0
5,2021101011,1402,"ARI","SF","2nd",3,"Red Zone","Other",7,0.0348694316436252,0
5,2021101011,1424,"ARI","SF","3rd",3,"Red Zone","Other",7,0.0502857142857143,0
6,2021101708,198,"ARI","CLE","1st",10,"Quarters","Zone",6,0.0178991596638656,0
6,2021101708,262,"ARI","CLE","1st",10,"Cover-3","Zone",5,0.0110866910866911,0
6,2021101708,307,"ARI","CLE","3rd",7,"Cover-3","Zone",5,0.00899224806201551,0
6,2021101708,384,"ARI","CLE","3rd",19,"Cover-6","Zone",5,0.00865424430641822,0
6,2021101708,824,"ARI","CLE","1st",10,"Cover-3","Zone",6,0.0293557422969188,0
6,2021101708,869,"ARI","CLE","2nd",10,"Cover-3","Zone",5,0.0112874779541446,0
6,2021101708,902,"ARI","CLE","1st",10,"Quarters","Zone",7,0.0317582417582418,0
6,2021101708,965,"ARI","CLE","3rd",2,"Cover-1","Man",7,0.0354334554334554,0
6,2021101708,1063,"ARI","CLE","2nd",7,"Red Zone","Other",5,0.0152120026092629,0
6,2021101708,1178,"ARI","CLE","1st",18,"Cover-3","Zone",6,0.0154341736694678,0
7,2021102408,85,"ARI","HOU","1st",10,"Cover-3","Zone",8,0.040125313283208,0
7,2021102408,131,"ARI","HOU","2nd",10,"Cover-3","Zone",5,0.00965669988925803,0
7,2021102408,353,"ARI","HOU","2nd",22,"Cover-2","Zone",7,0.0216967706622879,0
7,2021102408,900,"ARI","HOU","2nd",6,"Cover-3","Zone",7,0.0275213675213675,0
7,2021102408,922,"ARI","HOU","3rd",6,"Cover-3","Zone",7,0.0255238095238095,0
7,2021102408,967,"ARI","HOU","2nd",5,"Cover-3","Zone",7,0.0400375939849624,0
7,2021102408,1083,"ARI","HOU","3rd",2,"Cover-3","Zone",7,0.0441534391534391,0
7,2021102408,1105,"ARI","HOU","4th/2pc",2,"Cover-3","Zone",5,0.0264182194616977,0
7,2021102408,1129,"ARI","HOU","1st",10,"Red Zone","Other",6,0.0210204081632653,0
7,2021102408,1521,"ARI","HOU","2nd",18,"Cover-2","Zone",6,0.0202116402116402,0
8,2021102800,189,"ARI","GB","1st",10,"Quarters","Zone",5,0.0114805194805195,0
8,2021102800,271,"ARI","GB","3rd",4,"Cover-6","Zone",5,0.0159273182957394,0
8,2021102800,471,"ARI","GB","1st",20,"Cover-3","Zone",6,0.0196296296296296,0
8,2021102800,495,"ARI","GB","2nd",16,"Quarters","Zone",5,0.0114285714285714,0
8,2021102800,519,"ARI","GB","3rd",8,"Bracket","Other",4,0.0153542392566783,0
8,2021102800,1133,"ARI","GB","2nd",11,"Cover-3","Zone",6,0.0243223443223443,0
8,2021102800,1155,"ARI","GB","3rd",11,"Cover-3","Zone",4,0.0161124121779859,0
8,2021102800,1595,"ARI","GB","2nd",6,"Cover-3","Zone",6,0.0181467181467181,0
8,2021102800,1651,"ARI","GB","2nd",5,"Cover-3","Zone",6,0.0334996220710507,1
8,2021102800,1673,"ARI","GB","3rd",5,"Cover-1","Man",5,0.0176190476190476,0
1,2021091200,56,"ATL","PHI","1st",10,"Cover-2","Zone",7,0.0258395989974937,0
1,2021091200,122,"ATL","PHI","2nd",6,"Cover-2","Zone",6,0.0280238095238095,0
1,2021091200,146,"ATL","PHI","3rd",5,"Cover-3","Zone",6,0.0136617405582923,0
1,2021091200,176,"ATL","PHI","1st",10,"Cover-3","Zone",7,0.0364227642276423,0
1,2021091200,231,"ATL","PHI","3rd",7,"Cover-3","Zone",6,0.0175595238095238,0
1,2021091200,303,"ATL","PHI","2nd",7,"Cover-3","Zone",6,0.0207979407979408,0
1,2021091200,348,"ATL","PHI","2nd",3,"Red Zone","Other",7,0.0252934662236988,0
1,2021091200,370,"ATL","PHI","3rd",3,"Red Zone","Other",6,0.0141369047619048,0
1,2021091200,705,"ATL","PHI","1st",10,"Cover-6","Zone",7,0.0306162464985994,0
1,2021091200,750,"ATL","PHI","1st",10,"Cover-2","Zone",6,0.0226315789473684,0
2,2021091910,231,"ATL","TB","1st",10,"Cover-2","Zone",7,0.0291468253968254,0
2,2021091910,281,"ATL","TB","3rd",3,"Cover-3","Zone",6,0.0192517006802721,0
2,2021091910,537,"ATL","TB","1st",10,"Cover-3","Zone",7,0.0178446115288221,0
2,2021091910,582,"ATL","TB","3rd",2,"Quarters","Zone",6,0.0215958815958816,0
2,2021091910,606,"ATL","TB","1st",10,"Cover-2","Zone",7,0.0229478458049887,0
2,2021091910,628,"ATL","TB","2nd",10,"Cover-2","Zone",6,0.0143650793650794,0
